loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,3,Graduate,Yes,800935,233146,13,847,2539338,528000,39249544,8447258,Approved
2,1,Graduate,No,884613,469737,19,805,2333534,545666,18971664,1068920,Rejected
3,3,Graduate,No,927899,284354,19,645,972437,398776,36779129,14183185,Approved
4,3,Not Graduate,No,992238,252253,20,887,867829,244293,8946484,5228263,Rejected
5,1,Not Graduate,Yes,524117,513567,9,661,486125,627895,27112002,5311843,Rejected
6,1,Graduate,Yes,1076444,528373,7,783,1729920,694609,18669533,11016098,Approved
7,1,Not Graduate,No,817600,579267,18,746,1220189,618367,31188641,13190150,Approved
8,5,Graduate,No,1039932,101474,12,729,2085969,614765,9496615,9303836,Rejected
9,0,Graduate,Yes,278743,216352,12,799,2784408,261104,28030282,6356610,Rejected
10,2,Not Graduate,Yes,1033822,446945,10,831,1764666,234727,26132129,13414799,Rejected
11,0,Graduate,No,1077391,104198,14,814,921537,138678,21676102,2177253,Approved
12,4,Graduate,No,678279,335478,13,874,2735357,738559,30192067,12650079,Rejected
13,5,Not Graduate,No,686642,175210,14,818,648231,432871,32227787,10686619,Rejected
14,0,Graduate,Yes,777998,479772,11,610,2314332,469863,23810242,10416375,Approved
15,5,Not Graduate,No,225811,328236,11,805,2059225,587065,6844971,10317721,Rejected
16,3,Graduate,No,602035,474060,11,571,397216,61600,7409783,10416374,Rejected
17,1,Graduate,Yes,1020455,492528,6,582,622330,735878,21753960,8238872,Rejected
18,0,Not Graduate,Yes,1173045,147641,6,705,832710,546478,31213430,3563478,Approved
19,3,Graduate,Yes,1007618,469087,6,713,2265455,724160,1034633,2361744,Approved
20,3,Graduate,No,422844,451801,19,841,1937004,191661,10208598,8589599,Approved
21,1,Graduate,No,978390,252419,17,552,1537421,670875,22133426,13750738,Rejected
22,1,Graduate,No,640397,413888,8,643,1167369,403573,935822,13395397,Rejected
23,4,Not Graduate,No,331950,406272,16,659,1980430,402423,3514842,7016209,Rejected
24,3,Graduate,Yes,334225,515517,19,683,1111791,306088,25387175,4341088,Rejected
25,0,Not Graduate,Yes,720827,190434,9,821,1493673,373645,13771765,11101206,Approved
26,0,Not Graduate,No,591884,257761,8,615,1518921,516468,22682042,5774850,Approved
27,5,Graduate,No,491135,147655,9,723,1283778,601482,33919485,11542916,Approved
28,4,Graduate,Yes,1150721,551045,17,747,486224,251337,31336002,4300097,Approved
29,1,Not Graduate,Yes,696915,289811,18,714,500356,149132,2127869,9228882,Approved
30,4,Not Graduate,No,1107951,214424,6,884,1209189,424881,38265356,2398262,Approved
31,1,Not Graduate,Yes,874935,376965,15,848,1447279,466938,17403431,5684501,Approved
32,4,Not Graduate,Yes,276842,487654,11,674,517527,767560,17309518,3042104,Approved
33,1,Not Graduate,No,514693,543015,12,822,1755517,413944,9917372,13026019,Rejected
34,3,Not Graduate,Yes,968963,109623,14,693,1240088,263118,13317882,2315015,Rejected
35,4,Not Graduate,Yes,553782,192075,19,820,672148,309697,27041412,3766220,Rejected
36,5,Not Graduate,Yes,754690,276869,12,831,717026,664031,3487117,13181930,Approved
37,2,Not Graduate,Yes,708675,276087,19,572,2000662,323951,34122767,3790253,Rejected
38,4,Not Graduate,Yes,1084115,312341,11,700,2107406,770166,33632492,4987561,Approved
39,4,Not Graduate,Yes,842814,507557,9,861,318981,737618,22907223,13571599,Approved
40,3,Graduate,Yes,715029,150920,20,725,1965116,624155,5051077,5943351,Approved
41,2,Graduate,No,815772,477589,11,663,1222784,659733,17186701,11392270,Approved
42,2,Graduate,No,850540,273026,10,596,734303,180621,2475149,5252941,Approved
43,1,Graduate,Yes,551698,175736,10,860,2047477,605722,7488873,6454591,Approved
44,5,Not Graduate,Yes,767204,429746,18,572,2162737,189942,17815691,6858696,Approved
45,0,Not Graduate,Yes,872556,555068,12,819,2412075,677078,32916514,14234519,Rejected
46,2,Not Graduate,No,1088692,322474,11,647,1985466,425265,17285330,293639,Rejected
47,3,Graduate,No,621390,508306,6,807,1668454,630416,13419260,12378806,Rejected
48,1,Graduate,Yes,480135,583623,7,837,1880196,209925,37854682,10844238,Rejected
49,4,Not Graduate,No,412484,168573,8,624,2159797,472433,34068683,2310274,Rejected
50,5,Graduate,No,502068,581141,10,570,1419509,253833,35152329,3028193,Approved
51,0,Not Graduate,Yes,835714,357038,19,837,2047752,747250,2646107,8706234,Approved
52,3,Graduate,Yes,1089617,301502,19,635,406255,156622,11841750,8687751,Rejected
53,1,Graduate,Yes,348631,245253,11,746,833686,164442,12128186,1060063,Rejected
54,5,Graduate,No,928551,417919,12,873,1193492,615106,5898059,10707473,Rejected
55,3,Graduate,No,722983,377158,16,708,1042618,568428,24603909,3941093,Rejected
56,0,Graduate,No,982180,473520,18,636,2141749,565337,31664374,12550970,Approved
57,3,Graduate,No,645842,273109,9,627,2618019,280405,26050167,8402933,Approved
58,1,Not Graduate,No,459111,294676,19,744,2802174,341995,11862366,6428337,Rejected
59,3,Not Graduate,Yes,1162531,279445,14,698,1892475,533085,17851105,14223513,Approved
60,4,Not Graduate,Yes,853675,551637,15,662,308457,788721,14237812,6772659,Approved
61,4,Graduate,Yes,987772,421128,13,712,2000306,271078,18309976,5495143,Approved
62,1,Graduate,No,785224,562382,17,837,886147,522167,23484469,4307274,Approved
63,1,Not Graduate,Yes,506761,574396,16,565,1185454,565256,31689611,9456919,Approved
64,5,Not Graduate,Yes,683703,518715,19,833,2025080,317414,29795428,7145390,Approved
65,0,Graduate,No,1016771,531292,8,660,2241460,160649,23344352,1649178,Rejected
66,0,Graduate,No,435094,310720,12,719,688933,618602,14882788,9184019,Rejected
67,4,Graduate,No,1114460,261546,11,568,2921873,681565,16778436,4394672,Approved
68,1,Not Graduate,No,675057,306519,8,830,1013437,261405,8268881,9061026,Approved
69,0,Not Graduate,Yes,999484,388288,7,595,2707584,766868,29184344,5798715,Approved
70,2,Not Graduate,Yes,1112392,451157,16,879,807067,642237,24913750,13483637,Approved
71,5,Graduate,Yes,878647,593126,9,882,871006,102773,12175743,1353403,Rejected
72,4,Not Graduate,No,895065,503108,7,898,2903290,763542,29528907,8217850,Approved
73,0,Not Graduate,No,1196887,113673,13,705,1696820,744678,16677133,8562975,Rejected
74,5,Not Graduate,Yes,352055,275915,11,719,2885252,206355,8923117,14338395,Rejected
75,2,Graduate,Yes,317357,288255,19,738,1720338,462134,14588451,7813546,Rejected
76,0,Not Graduate,No,636636,547818,15,729,542795,700163,18689588,13817146,Rejected
77,1,Graduate,Yes,514714,504263,19,554,1501433,249133,29651382,3630284,Approved
78,3,Graduate,No,466792,462735,17,789,2321051,722876,34706529,1169552,Rejected
79,0,Not Graduate,No,727702,302221,11,873,2405784,787694,38582935,8178236,Rejected
80,4,Not Graduate,No,645604,316175,6,867,2314470,483147,39601340,13568536,Approved
